# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
227;Art der Falschgeldfeststellung;Art der Falschgeldfeststellung;ZIR;V1.1;20210930

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
227_1;DBBk (Zentrale / Filialen);0;0;0;NULL;;Anhaltung innerhalb des Zahlungsverkehrs;;;
227_2;Geldbearbeitung Kreditinstitut / Werttransport;0;0;0;NULL;;Anhaltung innerhalb des Zahlungsverkehrs;;;
227_3;Geschäft / Öffentlichkeit;0;0;0;NULL;;Anhaltung innerhalb des Zahlungsverkehrs;;;
227_4;Schaltergeschäft Kreditinstitut;0;0;0;NULL;;Anhaltung innerhalb des Zahlungsverkehrs;;;
227_5;Sicherstellung durch Polizei;0;0;0;NULL;;Anhaltung außerhalb des Zahlungsverkehrs;;;
