# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
412;Vereine / Mannschaften (Fußball / Eishockey);Vereine / Mannschaften (Fußball / Eishockey);ZIR;V1.0;20210930

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Zugangsvokabular;Sportart
412_174;FC Saalfeld;0;1;0;NULL;;;;Fußball
412_175;FC Schalke 04;0;1;0;NULL;;;;Fußball
412_176;FC Schalke 04 II;0;1;0;NULL;;;;Fußball
412_177;FC Schalke 04 U19;0;1;0;NULL;;;;Fußball
412_178;FC Schönberg 95;0;1;0;NULL;;;;Fußball
412_179;FC Speyer 09;0;1;0;NULL;;;;Fußball
412_18;1. FC Magdeburg;0;1;0;NULL;;;;Fußball
412_180;FC St. Pauli;0;1;0;NULL;;;;Fußball
412_181;FC St. Pauli (U23);0;1;0;NULL;;;;Fußball
412_182;FC St. Pauli III;0;1;0;NULL;;;;Fußball
412_183;FC Stern Marienfelde 1912 e. V.;0;1;0;NULL;;;;Fußball
412_184;FC Strausberg;0;1;0;NULL;;;;Fußball
412_185;FC Teutonia 05 Ottensen;0;1;0;NULL;;;;Fußball
412_186;FC Teutonia München e. V.;0;1;0;NULL;;;;Fußball
412_187;FC Thüringen Jena;0;1;0;NULL;;;;Fußball
412_188;FC Thüringen Weida;0;1;0;NULL;;;;Fußball
412_189;FC Treptow;0;1;0;NULL;;;;Fußball
412_19;1. FC Mönchengladbach;0;1;0;NULL;;;;Fußball
412_190;FC Union Mühlhausen;0;1;0;NULL;;;;Fußball
412_191;FC Viktoria 1889 Berlin;0;1;0;NULL;;;;Fußball
412_192;FC Viktoria Köln 1904 e. V.;0;1;0;NULL;;;;Fußball
412_193;FC Wacker 1914 Teistungen;0;1;0;NULL;;;;Fußball
412_194;FC Wegberg-Beeck;0;1;0;NULL;;;;Fußball
412_195;FC Würzburger Kickers 1907;0;1;0;NULL;;;;Fußball
412_196;FC Würzburger Kickers e. V. U23;0;1;0;NULL;;;;Fußball
412_197;FCS;0;1;0;NULL;;;;Fußball
412_198;FK O3 Pirmasens e. V.;0;1;0;NULL;;;;Fußball
412_199;FK Srbija Berlin e. V;0;1;0;NULL;;;;Fußball
412_2;1. FC 1906 Bad Kissingen;0;1;0;NULL;;;;Fußball
412_20;1. FC Mühlhausen 1927 e. V.;0;1;0;NULL;;;;Fußball
412_200;Fortuna Düsseldorf;0;1;0;NULL;;;;Fußball
412_201;Fortuna Düsseldorf II;0;1;0;NULL;;;;Fußball
412_202;Freiburger Fußball-Club 1897 e. V.;0;1;0;NULL;;;;Fußball
412_203;Freie Turnerschaft Braunschweig e. V.;0;1;0;NULL;;;;Fußball
412_204;Freie Turnerschaft Schweinfurt;0;1;0;NULL;;;;Fußball
412_205;Friedenauer TSC 1886 e. V.;0;1;0;NULL;;;;Fußball
412_206;Friedrichshagener Sportverein 1912 e. V.;0;1;0;NULL;;;;Fußball
412_207;Frisch Auf Wurzen;0;1;0;NULL;;;;Fußball
412_208;Frohnauer Sport Club 1946 e. V.;0;1;0;NULL;;;;Fußball
412_209;FSV 06 Ohratal Ohrdruf;0;1;0;NULL;;;;Fußball
412_21;1. FC Novi Pazar 95;0;1;0;NULL;;;;Fußball
412_210;FSV 08 Bietigheim-Bissingen;0;1;0;NULL;;;;Fußball
412_211;FSV 1996 Preussen Bad Langensalza e. V.;0;1;0;NULL;;;;Fußball
412_212;FSV 63 Luckenwalde;0;1;0;NULL;;;;Fußball
412_213;FSV Berolina Stralau 1901;0;1;0;NULL;;;;Fußball
412_214;FSV Budissa Bautzen;0;1;0;NULL;;;;Fußball
412_215;FSV Frankfurt;0;1;0;NULL;;;;Fußball
412_216;FSV GW Stadtroda;0;1;0;NULL;;;;Fußball
412_217;FSV Hansa 07 e. V.;0;1;0;NULL;;;;Fußball
412_218;FSV Jägersburg;0;1;0;NULL;;;;Fußball
412_219;FSV Krostitz;0;1;0;NULL;;;;Fußball
412_22;1. FC Nürnberg;0;1;0;NULL;;;;Fußball
412_220;FSV Martinroda e. V.;0;1;0;NULL;;;;Fußball
412_221;FSV Mellenbach Sitzendorf;0;1;0;NULL;;;;Fußball
412_222;FSV Optik Rathenow;0;1;0;NULL;;;;Fußball
412_223;FSV Salmrohr 1921;0;1;0;NULL;;;;Fußball
412_224;FSV Spandauer Kickers 1975;0;1;0;NULL;;;;Fußball
412_225;FSV Union Fürstenwalde;0;1;0;NULL;;;;Fußball
412_226;FSV Wacker 03 Gotha;0;1;0;NULL;;;;Fußball
412_227;FSV Wacker 90 Nordhausen;0;1;0;NULL;;;;Fußball
412_228;FSV Wacker 90 Nordhausen II;0;1;0;NULL;;;;Fußball
412_229;FSV Waltershausen;0;1;0;NULL;;;;Fußball
412_23;1. FC Nürnberg II (1. FC Nürnberg U 21);0;1;0;NULL;;;;Fußball
412_230;FSV Zwickau;0;1;0;NULL;;;;Fußball
412_231;Füchse Berlin Reinickendorf;0;1;0;NULL;;;;Fußball
412_232;Fußball-Club 1908 Villingen e. V.;0;1;0;NULL;;;;Fußball
412_233;Fußballclub Eintracht Rheine e. V.;0;1;0;NULL;;;;Fußball
412_234;Fußballclub Energie Cottbus e. V.;0;1;0;NULL;;;;Fußball
412_235;Fußballclub Grimma e. V.;0;1;0;NULL;;;;Fußball
412_236;Fußballclub Hagen/Uthlede von 2000 e. V.;0;1;0;NULL;;;;Fußball
412_237;Fußball-Club Oberneuland von 1948 e. V.;0;1;0;NULL;;;;Fußball
412_238;Fußball-Club Remscheid e. V.;0;1;0;NULL;;;;Fußball
412_239;Fußball-Club Spandau 06 e. V.;0;1;0;NULL;;;;Fußball
412_24;1. FC Nürnberg U21;0;1;0;NULL;;;;Fußball
412_240;'"Fußballsportverein ""Glückauf"" Brieske/Senftenberg e. V."';0;1;0;NULL;;;;Fußball
412_241;Fußballsportverein 1926 Fernwald e. V.;0;1;0;NULL;;;;Fußball
412_242;Fußballverein Löchgau 1946 e. V.;0;1;0;NULL;;;;Fußball
412_243;FV 08 Rottweil;0;1;0;NULL;;;;Fußball
412_244;FV 09 Bischmisheim;0;1;0;NULL;;;;Fußball
412_245;FV 09 Schwalbach;0;1;0;NULL;;;;Fußball
412_246;FV 1893 Ravensburg e. V.;0;1;0;NULL;;;;Fußball
412_247;FV Bad Vilbel;0;1;0;NULL;;;;Fußball
412_248;FV Diefflen;0;1;0;NULL;;;;Fußball
412_249;FV Dresden 06 Laubegast;0;1;0;NULL;;;;Fußball
412_25;1. FC Phönix Lübeck e. V.;0;1;0;NULL;;;;Fußball
412_250;FV Dudenhofen;0;1;0;NULL;;;;Fußball
412_251;FV Engers 07;0;1;0;NULL;;;;Fußball
412_252;FV Eppelborn;0;1;0;NULL;;;;Fußball
412_253;FV Erkner 1920;0;1;0;NULL;;;;Fußball
412_254;FV Illertissen 1921 e. V.;0;1;0;NULL;;;;Fußball
412_255;FV Lörrach-Brombach e. V.;0;1;0;NULL;;;;Fußball
412_256;FV Siersburg;0;1;0;NULL;;;;Fußball
412_257;FV Sontheim/Brenz e. V.;0;1;0;NULL;;;;Fußball
412_258;FV Wannsee;0;1;0;NULL;;;;Fußball
412_259;Goslarer SC;0;1;0;NULL;;;;Fußball
412_26;1. FC Rielasingen-Arlen e. V.;0;1;0;NULL;;;;Fußball
412_260;Gramzower VfB e. V.;0;1;0;NULL;;;;Fußball
412_261;Greifswalder FC e. V.;0;1;0;NULL;;;;Fußball
412_262;Güstrower SC 09;0;1;0;NULL;;;;Fußball
412_263;Hainsberger SV;0;1;0;NULL;;;;Fußball
412_264;Hallescher FC;0;1;0;NULL;;;;Fußball
412_265;Hamburger Sportverein;0;1;0;NULL;;;;Fußball
412_266;Hamburger Sportverein II;0;1;0;NULL;;;;Fußball
412_267;Hannover 96;0;1;0;NULL;;;;Fußball
412_268;Hannoverscher Sport-Club von 1893 e. V.;0;1;0;NULL;;;;Fußball
412_269;Hannoverscher Sportverein von 1896 e. V.;0;1;0;NULL;;;;Fußball
412_27;1. FC Saarbrücken;0;1;0;NULL;;;;Fußball
412_270;Heeslinger SC;0;1;0;NULL;;;;Fußball
412_271;Heesseler SV;0;1;0;NULL;;;;Fußball
412_272;Heider Sport Verein;0;1;0;NULL;;;;Fußball
412_273;Hertha BSC;0;1;0;NULL;;;;Fußball
412_274;Hertha BSC U23;0;1;0;NULL;;;;Fußball
412_275;HFC Falke;0;1;0;NULL;;;;Fußball
412_276;HSC BW Schwalbe Tündern;0;1;0;NULL;;;;Fußball
412_277;Hünfelder SV;0;1;0;NULL;;;;Fußball
412_278;Karlsruher Sport-Club GmbH & Co. KGaA;0;1;0;NULL;;;;Fußball
412_279;Kehler FV;0;1;0;NULL;;;;Fußball
412_28;1. FC Schöneberg 1913 e. V.;0;1;0;NULL;;;;Fußball
412_280;KFC Uerdingen 05 e. V.;0;1;0;NULL;;;;Fußball
412_281;Kickers 94 Markleeberg;0;1;0;NULL;;;;Fußball
412_282;Kickers Offenbach;0;1;0;NULL;;;;Fußball
412_283;Kieler Sportvereinigung Holstein von 1900 e. V.;0;1;0;NULL;;;;Fußball
412_284;Kieler SV Holstein von 1900 e. V.;0;1;0;NULL;;;;Fußball
412_285;Köpenicker FC;0;1;0;NULL;;;;Fußball
412_286;KSV Baunatal;0;1;0;NULL;;;;Fußball
412_287;KSV Hessen Kassel;0;1;0;NULL;;;;Fußball
412_288;Lichtenrader BC 25;0;1;0;NULL;;;;Fußball
412_289;Lok Leipzig II;0;1;0;NULL;;;;Fußball
412_29;1. FC Schweinfurt 05;0;1;0;NULL;;;;Fußball
412_290;LSV Neustadt/Spree;0;1;0;NULL;;;;Fußball
412_291;Ludwigsfelder FC;0;1;0;NULL;;;;Fußball
412_292;Lüneburger Sport-Klub Hansa von 2008 e. V.;0;1;0;NULL;;;;Fußball
412_293;Lüner Sportverein Fußball e. V.;0;1;0;NULL;;;;Fußball
412_294;Malchower Sportverein 90 e. V.;0;1;0;NULL;;;;Fußball
412_295;Meidericher SV Duisburg;0;1;0;NULL;;;;Fußball
412_296;Mellendorfer TV;0;1;0;NULL;;;;Fußball
412_297;MSV Neuruppin;0;1;0;NULL;;;;Fußball
412_298;MSV Pampow e. V. 1990;0;1;0;NULL;;;;Fußball
412_299;MTV Eintracht Celle;0;1;0;NULL;;;;Fußball
412_3;1. FC Bocholt;0;1;0;NULL;;;;Fußball
412_30;1. FC Union Berlin;0;1;0;NULL;;;;Fußball
412_300;MTV Gifhorn;0;1;0;NULL;;;;Fußball
412_301;MTV Treubund Lüneburg;0;1;0;NULL;;;;Fußball
412_302;MTV Wolfenbüttel;0;1;0;NULL;;;;Fußball
412_303;Neckarsulmer Sport-Union;0;1;0;NULL;;;;Fußball
412_304;Nordberliner SC 1919 e. V.;0;1;0;NULL;;;;Fußball
412_305;Normannia;0;1;0;NULL;;;;Fußball
412_306;NSC Marathon 02;0;1;0;NULL;;;;Fußball
412_307;NTSV Strand 08 e. V.;0;1;0;NULL;;;;Fußball
412_308;Oberlungwitzer SV;0;1;0;NULL;;;;Fußball
