# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
111;Art des Kommunikationsereignisses;Art des Kommunikationsereignisses;ZIR;V1.2;20181019

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular
111_1;Gespräch (Audio);0;1;0;NULL;;;;;
111_2;Gespräch (Video);0;1;0;NULL;;z. B. Skype, Facetime;;;
111_3;Textnachrichtenaustausch;0;1;0;NULL;SMS;;;;
111_4;Multimedianachrichtenaustausch;0;1;0;NULL;MMS;;;;
111_5;E-Mail;0;1;0;NULL;;;;;
111_6;Fax;0;1;0;NULL;;;;;
111_7;Direktnachricht Internet;0;1;0;NULL;;Kommunikation mittels z. B. persönlicher Nachrichten in Foren und Chatrooms;;;
111_8;Instant Messaging;0;1;0;NULL;;Kommunikation mittels Direktnachrichten über sog. Messengerdienste (WhatsApp, Skype, ICQ, etc.);;;
111_9;nicht näher spezifizierte Datenübertragung;0;1;0;NULL;;paketvermittelte Übertragung von Daten (z. B. Bitstream);;;
