# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
251;Volkszugehörigkeit;Volkszugehörigkeit;ZIR;V1.2;20150810

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular;Siedlungsgebiete
251_68;Araber;0;1;0;NULL;;;;;;Arabische Halbinsel, Nordafrika
251_69;Belutsche;0;1;0;NULL;;;;;Balutsche;östlicher Iran, südliches Afghanistan, westliches Pakistan
251_7;Aserbaidschaner;0;1;0;NULL;;;;;Aseri;Aserbaidschan, Armenien, Nachitschewan, Berg Karabach
251_70;Han-Chinese;0;1;0;NULL;;;;;Chinese;China, Indonesien, Malaysia, Taiwan, Singapur, Thailand
251_71;Hazara;0;1;0;NULL;;;;;;Afghanistan, Iran, Pakistan
251_72;Inder;0;1;0;NULL;;;;;;Indien, Pakistan
251_73;Kanuri;0;1;0;NULL;;;;;;Nigeria, Niger, Tschad, Kamerun
251_74;Maure;0;1;0;NULL;;;;;Bidhan;Algerien, Libyen, Mali, Marokko, Mauretanien
251_75;Paschtune;0;1;0;NULL;;;;;;Afghanistan, Pakistan
251_76;Punjabi;0;1;0;NULL;;;;;Panjabi;Punjab, (Indien, Pakistan)
251_77;Singhalese;0;1;0;NULL;;;;;;Sri Lanka
251_78;Somali;0;1;0;NULL;;;;;;'Somalia, Äthiopien; Kenia'
251_79;Sorbe;0;1;0;NULL;;;;;Wende;Brandenburg, Sachsen
251_8;Assyrer;0;1;0;NULL;;;;;;Irak, Iran, Libanon, Syrien, Türkei. Minderheiten in Australien, Lateinamerika, Europa und USA
251_80;Tausug;0;1;0;NULL;;;;;Suluk;Malaysia, Philippinen
251_81;Thai;0;1;0;NULL;;;;;;Thailand
251_82;Tuareg;0;1;0;NULL;;;;;;Algerien, Libyen, Mali, Niger
251_83;Türke;0;1;0;NULL;;;;;;Türkei, Bulgarien, Deutschland, Niederlande, Zypern
251_9;Aware;0;1;0;NULL;;;;;;Dagestan (Republik im Kaukasus)
