# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
265;PMK-politischer Kalender;PMK-politischer Kalender;ZIR;V1.8;20210930

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular;Ereignisdatum;Land_Gebiet
265_139;Ausrufung der Unabhängigkeit Kroatiens und Sloweniens;NULL;1;0;NULL;;;2001-01-01;2009-12-31;;1991-06-25;Jugoslawien
265_14;Bewaffnete Auseinandersetzung zwischen marxistisch-leninstischen Volksfedajin und Sicherheitskräften in Siahkall;0;1;0;NULL;;;2001-01-01;2016-12-31;;1970-02-08;Iran
265_140;Besetzung der amerikanischen Botschaft in Teheran;NULL;1;0;NULL;;;2001-01-01;2009-12-31;;1979-11-04;Iran
265_141;Besetzung der großen Moschee von Mekka unter Führung von saudischen Fundamentalisten;NULL;1;0;NULL;;;2001-01-01;2009-12-31;;1979-11-20;Saudi Arabien
265_142;Camp David;NULL;1;0;NULL;;;2001-01-01;2009-12-31;;1978-09-17;Palästina
265_143;Ermordung der Gebrüder GERVALLA;NULL;1;0;NULL;;;2001-01-01;2009-12-31;;1982-01-17;Jugoslawien
265_144;Ermordung SADAT;NULL;1;0;NULL;;;2001-01-01;2009-12-31;;1981-10-06;Ägypten
265_145;Erstürmung der Residenz des japanischen Botschafters in Lima durch peruanische Sicherheitskräfte;NULL;1;0;NULL;;;2001-01-01;2009-12-31;;1997-04-22;Peru
265_146;Gründung der DDR;NULL;1;0;NULL;;;2001-01-01;2009-12-31;;1949-10-07;Deutschland
265_147;Iran und Irak;NULL;1;0;NULL;;;2001-01-01;2009-12-31;;1980-09-22;Iran
265_148;Jahrestag der "Studentenrevolution";NULL;1;0;NULL;;;2001-01-01;2009-12-31;;1976-04-07;Libyen
265_149;Jahrestag des Alshatt-Feldzuges gegen italienische Truppen;NULL;1;0;NULL;;;2001-01-01;2009-12-31;;0000-12-04;Libyen
265_15;Bombenanschlag auf das Büro der Islamisch-Republikanischen Partei (IRP);0;1;0;NULL;;;2001-01-01;2016-12-31;;1981-06-28;Iran
265_150;Luftangriff amerikanischer Streitkräfte auf die libyschen Städte Tripolis und Benghasi;NULL;1;0;NULL;;;2001-01-01;2009-12-31;;1986-04-15;Libyen
265_151;Reise Präsident SADATs nach Jerusalem;NULL;1;0;NULL;;;2001-01-01;2009-12-31;;1977-11-19;Ägypten
265_152;Selbstkrönung Cyrus zum Schah Reza II;NULL;1;0;NULL;;;2001-01-01;2009-12-31;;1980-10-31;Iran
265_153;Selbstmord des Ras-Burka-Touristenmörders Khater;NULL;1;0;NULL;;;2001-01-01;2009-12-31;;1986-01-07;Ägypten
265_154;Selbstverbrennung zweier kurdischer Frauen in Mannheim;NULL;1;0;NULL;;;2001-01-01;2009-12-31;;1994-03-21;Türkei
265_155;Sturz des Staatspräsidenten NUMEIRI;NULL;1;0;NULL;;;2001-01-01;2009-12-31;;1985-04-06;Sudan
265_156;Tag der Ausrufung der Republik;NULL;1;0;NULL;;;2001-01-01;2009-12-31;;1950-01-26;Indien
265_157;Tag der Revolution;NULL;1;0;NULL;;;2001-01-01;2009-12-31;;1969-09-01;Libyen
265_158;Todestag von Rainer SONNTAG;NULL;1;0;NULL;;;2001-01-01;2009-12-31;;1991-05-31;Deutschland
265_159;Todestag von Seyfettin KALAN;NULL;1;0;NULL;;;2001-01-01;2009-12-31;;1995-09-03;Türkei
265_16;Brand des Reichtagsgebäudes in Berlin;0;1;0;NULL;;;2001-01-01;2018-12-31;;1933-02-27;Deutschland
265_160;Todestag von UHL und WOLFRAM;NULL;1;0;NULL;;;2001-01-01;2009-12-31;;1981-10-20;Deutschland
265_161;Unabhängigkeitstag (Libyen);NULL;1;0;NULL;;;2001-01-01;2009-12-31;;0000-12-24;Libyen
265_162;Unterzeichnung eines Abkommens über den Staatenbund Ägypten, Syrien und Libyen (09.08.1971);NULL;1;0;NULL;;;2001-01-01;2003-12-31;;1971-08-09;Libyen
265_163;Unterzeichnung eines Abkommens über den Staatenbund Ägypten, Syrien und Libyen (17.04.1971);NULL;1;0;NULL;;;2005-01-01;2009-12-31;;1971-04-17;Libyen
265_164;Unterzeichnung eines Abkommens über den Staatenbund Ägypten, Syrien und Libyen (20.08.1971);NULL;1;0;NULL;;;2001-01-01;2003-12-31;;1971-08-20;Libyen
265_165;US-Bombenangriff auf die Geheimdienstzentrale des Irak;NULL;1;0;NULL;;;2001-01-01;2009-12-31;;1993-06-26;Irak
265_166;Verkündung der Unabhängigkeit Albaniens;NULL;1;0;NULL;;;2001-01-01;2009-12-31;;1912-11-28;Jugoslawien
265_167;Suizid Gerald HESS;NULL;1;0;NULL;;;2001-01-01;2009-12-31;;000-07-26;Deutschland
265_168;Sonnenwendfeiern (Frühling);NULL;1;0;NULL;;;2001-01-01;2013-12-31;;0000-03-21;Deutschland
265_169;Sonnenwendfeiern (Herbst);NULL;1;0;NULL;;;2001-01-01;2013-12-31;;0000-09-21;Deutschland
265_17;Einmarsch israelischer Truppen in den Westteil von Beirut;0;1;0;NULL;;;2001-01-01;2016-12-31;;1982-09-15;Israel
265_18;Einmarsch israelischer Truppen in den Libanon;0;1;0;NULL;;;2001-01-01;2016-12-31;;1982-06-06;Palästinensische Autonomiegebiete
265_19;Einschreiten des chinesischen Militärs auf dem Platz des Himmlischen Friedens;0;1;0;NULL;;;2001-01-01;2018-12-31;;1989-06-03;China
265_2;Aktionstag für die Freiheit der politischen Gefangenen;0;1;0;NULL;;seit 1996;2001-01-01;2018-12-31;;0000-03-18;Deutschland
265_20;Ende des 2. Weltkrieges;0;1;0;NULL;;Unterzeichnung der Kapitulationsurkunde im 2. Weltkrieg;2001-01-01;;Tag der Befreiung;1945-05-08;Deutschland
265_21;Ermordung Ashra RADJAVIS;0;1;0;NULL;;;2001-01-01;2016-12-31;;1982-02-05;Iran
265_22;Ermordung Ernst RÖHM;0;1;0;NULL;;durch SS-Angehörige wegen angeblichen Putschversuchs;2001-01-01;2016-12-31;;1934-07-01;Deutschland
265_23;Ermordung RABIN;0;1;0;NULL;;israelischer Premierminister;2001-01-01;2016-12-31;;1995-11-04;Israel
265_24;Ermordung von Rosa LUXEMBURG und Karl LIEBKNECHT;0;1;0;NULL;;;2001-01-01;;;1919-01-15;Deutschland
265_25;Erschießung von 5 Mitgliedern der "Dev Sol";0;1;0;NULL;;darunter der bisherige 2. Mann, Bedri YAGAN;2001-01-01;2016-12-31;;1993-03-06;Türkei
265_26;Exekution Albert Leo SCHLAGETERs;0;1;0;NULL;;durch französisches Militär wegen Beteiligung an Sabotageakten während der französischen Besetzung des Rheinlandes;2001-01-01;2016-12-31;;1925-05-26;Deutschland
265_27;Festnahme des Abdullah ÖCALAN in Nairobi;0;1;0;NULL;;;2001-01-01;;;1999-02-15;Türkei
265_28;Feuerbestattung Michael KÜHNEN;0;1;0;NULL;;auf dem Waldfriedhof in Kassel;2001-01-01;2016-12-31;;1992-01-03;Deutschland
265_29;'"Friedensflug" Rudolf HESS nach Großbritannien';0;1;0;NULL;;;2001-01-01;2018-12-31;;1941-05-10;Deutschland
265_3;Alljährliche Kundgebung anl. des Todestages von FRANCO in Madrid;0;1;0;NULL;;gest. 20.11.1975;2001-01-01;2016-12-31;;0000-11-20;Spanien
265_30;Geburtstag Adolf HITLER;0;1;0;NULL;;;2001-01-01;;;1889-04-20;Deutschland
265_31;Geburtstag Ernst RÖHMs;0;1;0;NULL;;;2001-01-01;2016-12-31;;1889-11-28;Deutschland
265_32;Geburtstag Horst WESSEL;0;1;0;NULL;;;2001-01-01;2018-12-31;;1907-10-09;Deutschland
265_33;Geburtstag Michael KÜHNEN;0;1;0;NULL;;;2001-01-01;2016-12-31;;1955-06-21;Deutschland
265_34;Geburtstag Saddam HUSSEIN;0;1;0;NULL;;;2001-01-01;2016-12-31;;1937-04-28;Irak
265_35;Geburtstag von Rudolf HESS;0;1;0;NULL;;;2001-01-01;;;1894-04-26;Deutschland
265_36;GHODS-Tag;0;1;0;NULL;;'Demonstration; 1979 von KHOMEINI initiiert; Aufruf zur Befreiung Jerusalems mit seinen heiligen Stätten des Islam';2001-01-01;2016-12-31;Jerusalem-Tag;letzter Freitag des Ramadan;Iran
265_37;Giftgaseinsatz gegen Kurden in Halabja;0;1;0;NULL;;;2001-01-01;2016-12-31;;1988-03-16;Irak
265_38;Grundsatzerklärung von Washington (Oslo I);0;1;0;NULL;;;2001-01-01;2016-12-31;;1993-09-13;Palästinensische Autonomiegebiete
265_39;Gründung der "Islamischen Widerstandsbewegung" HAMAS;0;1;0;NULL;;;2001-01-01;2016-12-31;;1987-12-14;Palästinensische Autonomiegebiete
265_4;Angriff der Alliierten auf den Irak;0;1;0;NULL;;;2001-01-01;2016-12-31;;1991-01-17;Irak
265_40;Gründung der Devrimci Sol;0;1;0;NULL;;;2001-01-01;2016-12-31;Dev Sol;1983-02-09;Türkei
