# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
340;Straßenzustand;Straßenzustand;ZIR;V1.0;20161216

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular;DESTATIS-Schlüssel
340_1;Trocken;0;1;0;NULL;;;;;;0
340_2;Naß / Feucht;0;1;0;NULL;;;;;;1
340_3;Winterglatt;0;1;0;NULL;;;;;;2
340_4;Schlüpfrig (Öl, Dung, Laub usw.);0;1;0;NULL;;;;;;5
