# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
342;Charakteristik der Unfallstelle;Charakteristik der Unfallstelle;ZIR;V1.0;20161216

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular;DESTATIS-Schlüssel
342_1;Kreuzung;0;1;0;NULL;;;;;;1
342_2;Einmündung;0;1;0;NULL;;;;;;2
342_3;Grundstücksein- oder ausfahrt;0;1;0;NULL;;;;;;3
342_4;Steigung;0;1;0;NULL;;;;;;4
342_5;Gefälle;0;1;0;NULL;;;;;;5
342_6;Kurve;0;1;0;NULL;;;;;;6
342_7;Kreisverkehr;0;1;0;NULL;;;;;;7
