# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
218;Blutgruppe;Blutgruppe;ZIR;V1.0;20110406

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Zugangsvokabular
218_1;0;0;1;0;NULL;;;
218_2;A;0;1;0;NULL;;;
218_3;AB;0;1;0;NULL;;;
218_4;B;0;1;0;NULL;;;
