# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
344;Personenbezogene Unfallursache;Personenbezogene Unfallursache;ZIR;V1.1;20210415

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular;DESTATIS-Schlüssel;Kategorie
344_49;Andere Mängel;0;1;0;NULL;;;;;;55;Technische Mängel, Wartungsmängel
344_5;Benutzung der falschen Fahrbahn (auch Richtungsfahrbahn) oder verbotswidrige Benutzung anderer Straßenteile;0;1;0;NULL;;;;;;10;Straßenbenutzung
344_50;Falsches Verhalten beim Überschreiten der Fahrbahn an Stellen, an denen der Fußgängerverkehr durch Polizeibeamte oder Lichtzeichen geregelt war;0;1;0;NULL;;;;;;60;Falsches Verhalten beim Überschreiten der Fahrbahn
344_51;Falsches Verhalten beim Überschreiten der Fahrbahn auf Fußgängerüberwegen ohne Verkehrsregelung durch Polizeibeamte oder Lichtzeichen;0;1;0;NULL;;;;;;61;Falsches Verhalten beim Überschreiten der Fahrbahn
344_52;Falsches Verhalten beim Überschreiten der Fahrbahn in der Nähe von Kreuzungen oder Einmündungen, Lichtzeichenanlagen oder Fußgängerüberwegen bei dichtem Verkehr;0;1;0;NULL;;;;;;62;Falsches Verhalten beim Überschreiten der Fahrbahn
344_53;Falsches Verhalten beim Überschreiten der Fahrbahn an anderen Stellen durch plötzliches Hervortreten hinter Sichthindernissen;0;1;0;NULL;;;;;;63;Falsches Verhalten beim Überschreiten der Fahrbahn
344_54;Falsches Verhalten beim Überschreiten der Fahrbahn an anderen Stellen ohne auf den Fahrzeugverkehr zu achten;0;1;0;NULL;;;;;;64;Falsches Verhalten beim Überschreiten der Fahrbahn
344_55;Falsches Verhalten beim Überschreiten der Fahrbahn an anderen Stellen durch sonstiges falsches Verhalten;0;1;0;NULL;;;;;;65;Falsches Verhalten beim Überschreiten der Fahrbahn
344_56;Nichtbenutzen des Gehweges;0;1;0;NULL;;;;;;66;Nichtbenutzen des Gehweges
344_57;Nichtbenutzen der vorgeschriebenen Straßenseite;0;1;0;NULL;;;;;;67;Nichtbenutzen der vorgeschriebenen Straßenseite
344_58;Spielen auf oder neben der Fahrbahn;0;1;0;NULL;;;;;;68;Spielen auf oder neben der Fahrbahn
344_59;Andere Fehler der Fußgänger;0;1;0;NULL;;;;;;69;Andere Fehler der Fußgänger
344_6;Verstoß gegen das Rechtsfahrgebot;0;1;0;NULL;;;;;;11;Straßenbenutzung
344_60;Ablenkung im Sinne des § 23 Abs. 1a StVO;NULL;1;0;NULL;;;01.01.2021;;;5;Ablenkung
344_61;Ablenkung in anderen Fällen;NULL;1;0;NULL;;;01.01.2021;;;6;Ablenkung
344_62;'"Benutzung der Fahrbahn entgegen der vorgeschriebenen Fahrtrichtung in anderen Fällen (Stichwort „Einbahnstraße“)"';NULL;1;0;NULL;;;;;;9;Straßenbenutzung
344_63;Falschfahrt auf Straßen mit nach Fahrtrichtung getrennten Fahrbahnen (Stichwort „Falschfahrer“);NULL;1;0;NULL;;;;;;8;Straßenbenutzung
344_64;Fehler beim Abbiegen (§ 9) nach links (ausgenommen Pos. 33, 40);NULL;1;0;NULL;;;;;;35;Abbiegen, Wenden, Rückwärtsfahren, Ein- und Anfahren
344_65;Fehler beim Abbiegen (§ 9) nach rechts (ausgenommen Pos. 33, 40);NULL;1;0;NULL;;;;;;34;Abbiegen, Wenden, Rückwärtsfahren, Ein- und Anfahren
344_7;Nicht angepasste Geschwindigkeit mit gleichzeitigem Überschreiten der zulässigen Höchstgeschwindigkeit;0;1;0;NULL;;;;;;12;Geschwindigkeit
344_8;Geschwindigkeit in anderen Fällen;0;1;0;NULL;;;;;;13;Geschwindigkeit
344_9;Ungenügender Sicherheitsabstand (Sonstige Ursachen, die zu einem Verkehrsunfall führen, sind den zutreffenden Positionen, wie Geschwindigkeit, Übermüdung usw. zuzuordnen);0;1;0;NULL;;;;;;14;Abstand
