# Anwendung
name;bezeichnung
XPOLIZEI;XPolizei

# Katalog
schluessel;name;bezeichnung;herkunft;version;gueltigAb
230;Währung;Währung;ZIR;V1.4;20161216

# Katalogwerte
schluessel;bezeichnung;anzeigeReihenfolge;auswahlerlaubt;loeschstatus;extId;Abkürzung;Beschreibung;Gültig_ab;Gültig_bis;Zugangsvokabular;Währungsgruppe;ISO_4217
230_170;Pa`anga;0;1;0;NULL;;;;;;;TOP
230_171;Tansania-Schilling;0;1;0;NULL;;;;;;;TZS
230_172;Griwna (Hrywnja);0;1;0;NULL;;;;;;;UAH
230_173;Usbekistan-Sum;0;1;0;NULL;;;;;;;UZS
230_174;Bolivar (bis 31.12.2008);0;1;0;NULL;;;;2008-12-31;;;VEB
230_175;Dong;0;1;0;NULL;;;;;;;VND
230_176;Vatu;0;1;0;NULL;;;;;;;VUV
230_177;Nordkoreanischer Won;0;1;0;NULL;;;;;;Won;KPW
230_178;Südkoreanischer Won;0;1;0;NULL;;;;;;Won;KRW
230_179;Tala;0;1;0;NULL;;;;;;;WST
230_18;Trinidad-und-Tobago-Dollar;0;1;0;NULL;;;;;;Dollar;TTD
230_180;Rand;0;1;0;NULL;;;;;;;ZAR
230_181;Neuer Zaïre (bis 1997);0;1;0;NULL;;;;1997-12-31;;;ZRN
230_182;Südsudanesisches Pfund;0;1;0;NULL;;;;;;Pfund;SSP
230_19;Taiwan-Dollar;0;1;0;NULL;;;;;;Dollar;TWD
230_2;Barbados-Dollar;0;1;0;NULL;;;;;;Dollar;BBD
230_20;US-Dollar;0;1;0;NULL;;;;;;Dollar;USD
230_204;Afghani;0;1;0;NULL;;;;;;;AFN
230_205;Kwanza Readjustado (bis 1999);0;1;0;NULL;;;;1999-12-31;;Kwanza;AOR
230_206;Aserbaidschan-Manat;0;1;0;NULL;;;;;;;AZN
230_207;Lew;0;1;0;NULL;;;;;;;BGN
230_208;Belarus-Rubel;0;1;0;NULL;;;;;;Rubel;BYR
230_209;Ghana-Cedi;0;1;0;NULL;;;;;;;GHS
230_21;Ostkaribischer Dollar;0;1;0;NULL;;;;;;Dollar;XCD
230_210;Ariary;0;1;0;NULL;;;;;;;MGA
230_211;Metical;0;1;0;NULL;;;;;;;MZN
230_212;Rumänischer Leu;0;1;0;NULL;;;;;;Leu;RON
230_213;Russischer Rubel;0;1;0;NULL;;;;;;Rubel;RUB
230_214;Sudanesisches Pfund;0;1;0;NULL;;;;;;Pfund;SDG
230_215;Suriname-Dollar;0;1;0;NULL;;;;;;Dollar;SRD
230_216;Turkmenistan-Manat;0;1;0;NULL;;;;;;;TMT
230_217;Türkische Lira;0;1;0;NULL;;;;;;Lira;TRY
230_218;Bolivar;0;1;0;NULL;;;;;;;VEF
230_219;Serbischer Dinar;0;1;0;NULL;;;;;;Dinar;RSD
230_22;Simbabwe Dollar (bis 31.07.2006);0;1;0;NULL;;;;2006-07-31;;Dollar;ZWD
230_220;Sambischer Kwacha;0;1;0;NULL;;;;;;Kwacha;ZMW
230_221;Simbabwe-Dollar (bis 31.07.2008);0;1;0;NULL;;;;2008-07-31;;Dollar;ZWN
230_222;Simbabwe-Dollar (bis 01.02.2009);0;1;0;NULL;;;;2009-02-01;;Dollar;ZWR
230_223;Simbabwe-Dollar;0;1;0;NULL;;;;;;Dollar;ZWL
230_224;Peso Convertible;0;1;0;NULL;;;;;;Peso;CUC
230_225;Bitcoin;0;1;0;NULL;;;;;;virtuelle Währung;
230_226;Litecoin;0;1;0;NULL;;;;;;virtuelle Währung;
230_227;Second Life Linden Dollar;0;1;0;NULL;;;;;;virtuelle Währung;
230_228;World of Warcraft Gold;0;1;0;NULL;;;;;;virtuelle Währung;
230_23;Afghani (bis 31.12.2002);0;1;0;NULL;;;;2002-12-31;;;AFA
230_24;Lek;0;1;0;NULL;;;;;;;ALL
230_25;Dram;0;1;0;NULL;;;;;;;AMD
230_26;Aruba-Florin;0;1;0;NULL;;;;;;Gulden;AWG
230_27;Aserbaidschan-Manat (bis 31.12.2005);0;1;0;NULL;;;;2005-12-31;;;AZM
230_28;Taka;0;1;0;NULL;;;;;;;BDT
230_29;Lew (bis 04.07.1999);0;1;0;NULL;;;;1999-07-04;;;BGL
230_3;Bermuda-Dollar;0;1;0;NULL;;;;;;Dollar;BMD
230_30;Boliviano;0;1;0;NULL;;;;;;;BOB
230_31;Ngultrum;0;1;0;NULL;;;;;;;BTN
230_32;Pula;0;1;0;NULL;;;;;;;BWP
230_33;Renminbi Yuan;0;1;0;NULL;;;;;;;CNY
230_34;Costa-Rica-Colón;0;1;0;NULL;;;;;;Colón;CRC
230_35;El-Salvador-Colón;0;1;0;NULL;;;;;;Colón;SVC
230_36;Bosnisch-herzegowinischer Dinar (bis 21.06.1998);0;1;0;NULL;;;;1998-06-21;;Dinar;BAD
230_37;Bahrain-Dinar;0;1;0;NULL;;;;;;Dinar;BHD
230_38;Algerischer Dinar;0;1;0;NULL;;;;;;Dinar;DZD
230_39;Irakischer Dinar;0;1;0;NULL;;;;;;Dinar;IQD
230_4;Brunei-Dollar;0;1;0;NULL;;;;;;Dollar;BND
230_40;Jordanischer Dinar;0;1;0;NULL;;;;;;Dinar;JOD
230_41;Kuwait-Dinar;0;1;0;NULL;;;;;;Dinar;KWD
230_42;Libyscher Dinar;0;1;0;NULL;;;;;;Dinar;LYD
230_43;Denar;0;1;0;NULL;;;;;;Dinar;MKD
230_44;Sudanesischer Dinar (bis 30.06.2007);0;1;0;NULL;;;;2007-06-30;;Dinar;SDD
230_45;Tunesischer Dinar;0;1;0;NULL;;;;;;Dinar;TND
